tanggal,mode_transportasi,rute,jumlah_penumpang,tarif_rata_rata,total_pendapatan,status_operasional,hari,hari_dalam_minggu,bulan,jam,hari_indo,kategori_waktu
2026-01-01 07:04:00,LRT Jakarta,Velodrome - Pegangsaan Dua,150,5000,750000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 16:21:00,LRT Jakarta,Pegangsaan Dua - Velodrome,39,5000,195000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 16:59:00,LRT Jakarta,Pegangsaan Dua - Velodrome,49,5000,245000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 09:44:00,MRT Jakarta,Lebak Bulus - Bundaran HI,240,10000,2400000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 11:37:00,MRT Jakarta,Lebak Bulus - Bundaran HI,200,7000,1400000,Normal,Thursday,3,January,11,Kamis,Off-Peak
2026-01-01 07:39:00,MRT Jakarta,Lebak Bulus - Bundaran HI,134,4000,536000,Terlambat,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 09:51:00,LRT Jakarta,Pegangsaan Dua - Velodrome,150,5000,750000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 16:36:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),66,3500,231000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 16:58:00,MRT Jakarta,Lebak Bulus - Bundaran HI,143,7000,1001000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 13:28:00,LRT Jakarta,Pegangsaan Dua - Velodrome,31,5000,155000,Normal,Thursday,3,January,13,Kamis,Off-Peak
2026-01-01 15:50:00,MRT Jakarta,Bundaran HI - Lebak Bulus,152,14000,2128000,Terlambat,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 10:46:00,MRT Jakarta,Lebak Bulus - Bundaran HI,149,10000,1490000,Terlambat,Thursday,3,January,10,Kamis,Off-Peak
2026-01-01 15:46:00,MRT Jakarta,Lebak Bulus - Bundaran HI,97,14000,1358000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 07:27:00,TransJakarta,Koridor 13 (Ciledug - Tendean),73,3500,255500,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 07:40:00,LRT Jakarta,Pegangsaan Dua - Velodrome,105,5000,525000,Gangguan,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 07:56:00,MRT Jakarta,Lebak Bulus - Bundaran HI,241,7000,1687000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 09:52:00,LRT Jakarta,Pegangsaan Dua - Velodrome,83,5000,415000,Normal,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 09:17:00,LRT Jakarta,Velodrome - Pegangsaan Dua,60,5000,300000,Terlambat,Thursday,3,January,9,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 11:50:00,LRT Jakarta,Pegangsaan Dua - Velodrome,28,5000,140000,Normal,Thursday,3,January,11,Kamis,Off-Peak
2026-01-01 16:42:00,TransJakarta,Koridor 1 (Blok M - Kota),37,3500,129500,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 08:19:00,TransJakarta,Koridor 1 (Blok M - Kota),80,3500,280000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 15:12:00,TransJakarta,Koridor 13 (Ciledug - Tendean),30,3500,105000,Normal,Thursday,3,January,15,Kamis,Off-Peak
2026-01-01 08:28:00,LRT Jakarta,Velodrome - Pegangsaan Dua,150,5000,750000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 16:49:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),27,3500,94500,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 14:03:00,MRT Jakarta,Lebak Bulus - Bundaran HI,46,10000,460000,Normal,Thursday,3,January,14,Kamis,Off-Peak
2026-01-01 07:49:00,LRT Jakarta,Pegangsaan Dua - Velodrome,114,5000,570000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 08:22:00,TransJakarta,Koridor 13 (Ciledug - Tendean),63,3500,220500,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 07:31:00,LRT Jakarta,Velodrome - Pegangsaan Dua,150,5000,750000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 20:51:00,MRT Jakarta,Bundaran HI - Lebak Bulus,103,14000,1442000,Normal,Thursday,3,January,20,Kamis,Off-Peak
2026-01-01 08:18:00,LRT Jakarta,Pegangsaan Dua - Velodrome,78,5000,390000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 17:46:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),80,3500,280000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 17:36:00,LRT Jakarta,Velodrome - Pegangsaan Dua,108,5000,540000,Normal,Thursday,3,January,17,Kamis,Peak Sore (17:00 - 19:00)
2026-01-01 08:51:00,MRT Jakarta,Bundaran HI - Lebak Bulus,283,7000,1981000,Gangguan,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 08:49:00,LRT Jakarta,Velodrome - Pegangsaan Dua,118,5000,590000,Normal,Thursday,3,January,8,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 10:08:00,MRT Jakarta,Bundaran HI - Lebak Bulus,48,4000,192000,Normal,Thursday,3,January,10,Kamis,Off-Peak
2026-01-01 07:35:00,MRT Jakarta,Lebak Bulus - Bundaran HI,278,3000,834000,Normal,Thursday,3,January,7,Kamis,Peak Pagi (07:00 - 09:00)
2026-01-01 16:52:00,MRT Jakarta,Lebak Bulus - Bundaran HI,79,10000,790000,Normal,Thursday,3,January,16,Kamis,Off-Peak
2026-01-01 18:25:00,LRT Jakarta,Velodrome - Pegangsaan Dua,150,5000,750000,Normal,Thursday,3,January,18,Kamis,Peak Sore (17:00 - 19:00)
2026-01-02 09:53:00,MRT Jakarta,Lebak Bulus - Bundaran HI,300,4000,1200000,Normal,Friday,4,January,9,Jumat,Peak Pagi (07:00 - 09:00)
2026-01-02 18:58:00,LRT Jakarta,Velodrome - Pegangsaan Dua,92,5000,460000,Normal,Friday,4,January,18,Jumat,Peak Sore (17:00 - 19:00)
2026-01-02 16:53:00,MRT Jakarta,Bundaran HI - Lebak Bulus,34,7000,238000,Normal,Friday,4,January,16,Jumat,Off-Peak
2026-01-02 12:44:00,LRT Jakarta,Pegangsaan Dua - Velodrome,41,5000,205000,Normal,Friday,4,January,12,Jumat,Off-Peak
2026-01-02 09:39:00,MRT Jakarta,Bundaran HI - Lebak Bulus,300,7000,2100000,Normal,Friday,4,January,9,Jumat,Peak Pagi (07:00 - 09:00)
2026-01-02 16:43:00,LRT Jakarta,Velodrome - Pegangsaan Dua,78,5000,390000,Normal,Friday,4,January,16,Jumat,Off-Peak
2026-01-02 07:58:00,LRT Jakarta,Pegangsaan Dua - Velodrome,150,5000,750000,Normal,Friday,4,January,7,Jumat,Peak Pagi (07:00 - 09:00)
2026-01-02 17:07:00,MRT Jakarta,Lebak Bulus - Bundaran HI,300,10000,3000000,Normal,Friday,4,January,17,Jumat,Peak Sore (17:00 - 19:00)
2026-01-02 08:24:00,MRT Jakarta,Lebak Bulus - Bundaran HI,258,10000,2580000,Normal,Friday,4,January,8,Jumat,Peak Pagi (07:00 - 09:00)
2026-01-02 08:20:00,LRT Jakarta,Pegangsaan Dua - Velodrome,138,5000,690000,Normal,Friday,4,January,8,Jumat,Peak Pagi (07:00 - 09:00)
2026-01-02 16:50:00,LRT Jakarta,Pegangsaan Dua - Velodrome,106,5000,530000,Normal,Friday,4,January,16,Jumat,Off-Peak
2026-01-02 17:16:00,MRT Jakarta,Bundaran HI - Lebak Bulus,278,7000,1946000,Normal,Friday,4,January,17,Jumat,Peak Sore (17:00 - 19:00)
2026-01-02 17:42:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),61,3500,213500,Normal,Friday,4,January,17,Jumat,Peak Sore (17:00 - 19:00)
2026-01-02 15:12:00,TransJakarta,Koridor 1 (Blok M - Kota),35,3500,122500,Normal,Friday,4,January,15,Jumat,Off-Peak
2026-01-02 08:54:00,MRT Jakarta,Lebak Bulus - Bundaran HI,227,14000,3178000,Normal,Friday,4,January,8,Jumat,Peak Pagi (07:00 - 09:00)
2026-01-02 06:48:00,MRT Jakarta,Lebak Bulus - Bundaran HI,65,7000,455000,Normal,Friday,4,January,6,Jumat,Off-Peak
2026-01-02 16:24:00,LRT Jakarta,Pegangsaan Dua - Velodrome,80,5000,400000,Normal,Friday,4,January,16,Jumat,Off-Peak
2026-01-02 08:49:00,TransJakarta,Koridor 9 (Pinang Ranti - Pluit),69,3500,241500,Normal,Friday,4,January,8,Jumat,Peak Pagi (07:00 - 09:00)
2026-01-02 18:14:00,TransJakarta,Koridor 1 (Blok M - Kota),80,3500,280000,Normal,Friday,4,January,18,Jumat,Peak Sore (17:00 - 19:00)
2026-01-02 16:42:00,MRT Jakarta,Bundaran HI - Lebak Bulus,83,14000,1162000,Normal,Friday,4,January,16,Jumat,Off-Peak
2026-01-02 15:24:00,LRT Jakarta,Velodrome - Pegangsaan Dua,65,5000,325000,Normal,Friday,4,January,15,Jumat,Off-Peak
